geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Illinois,0.5398223571581849,0.18115106318645988,0.04660020023584366,0.9880380034446716,1,0.41822025924921036,0.4848940074443817,0.6661407351493835,0.8373649716377258
Indiana,0.5413593596922482,0.17296954704516954,0.3739210069179535,0.9878559708595276,1,0.4148769974708557,0.471686989068985,0.5906170010566711,0.8485260009765625
Iowa,0.35360788032228313,0.23412703339401,0.006733969785273075,0.9776009917259216,0.9319240807889713,0.06390662491321564,0.4080989956855774,0.5099852681159973,0.6732972919940948
Kansas,0.27180065160946904,0.27700945651161724,0.001788369962014258,0.9876930117607117,0.8296541226108817,0.020480699837207794,0.056241100654006004,0.48191501200199127,0.6790220141410828
Kentucky,0.5014780994315635,0.19912970280261733,0.025487199425697327,0.9878180027008057,1,0.40622401237487793,0.4776709973812103,0.5891510248184204,0.7625560164451599
Louisiana,0.11268274701690713,0.18758512538990002,4.2597699211910367e-4,0.9343640208244324,0.6067644909887969,0.01162710040807724,0.016054999083280563,0.06595130264759064,0.44433320164680484
Maine,0.009834559990076017,0.051619027114970774,3.479380102362484e-4,0.7084019780158997,0.06356074880178818,4.6438700519502163e-4,7.743909955024719e-4,0.00247645506169647,0.008760900236666203
Maryland,0.6759011052740026,0.22989648802507684,0.026263900101184845,0.9880369901657104,1,0.4586600065231323,0.7024199962615967,0.8858414888381958,0.9594821989536285
Massachusetts,0.46527104676739517,0.3251924067665001,0.001944490009918809,0.9640539884567261,0.8492092346846029,0.06364079937338829,0.48779501020908356,0.7534340023994446,0.8794117867946625
Michigan,0.19389581458914124,0.2710406267411614,3.323860000818968e-4,0.9806180000305176,0.6711157841447861,0.0016103900270536542,0.007466619834303856,0.420475997030735,0.5616871953010559
Minnesota,0.004102698831607859,0.008320993600236531,3.316589863970876e-4,0.4349220097064972,0.05403582185517894,4.6665201080031693e-4,0.0016288099577650428,0.006644709967076778,0.00956289004534483
Mississippi,0.19193947730671054,0.20686131863355456,0.005068640224635601,0.9266319870948792,0.9594645066411448,0.024690200574696064,0.06731010228395462,0.34889599680900574,0.4828149974346161
Missouri,0.42387525141546467,0.23616484103301202,0.023782599717378616,0.9880369901657104,1,0.3499644920229912,0.45073050260543823,0.5548354834318161,0.6987906098365784
Montana,0.00652971468131299,0.04024836019203287,3.301049873698503e-4,0.83440101146698,0.04591025854262534,4.2817401117645204e-4,6.435179966501892e-4,0.0016638899687677622,0.007794949179515247
Nebraska,0.14879163291660083,0.22849773152227265,6.395929958671331e-4,0.9701679944992065,0.5684550004175848,0.006232250016182661,0.015678299590945244,0.34776251018047333,0.5105593860149383
