name,longitude,latitude,prov,date,key
"Lycorma delicatula (White, 1845)",-75.191855,39.960983,gbif,2020-05-25,2850535591
"Lycorma delicatula (White, 1845)",-75.191863,39.960925,gbif,2020-05-31,2850535605
"Lycorma delicatula (White, 1845)",-75.191833,39.96098,gbif,2020-05-23,2850544570
"Lycorma delicatula (White, 1845)",-75.78212,39.827055,gbif,2020-05-31,2850545535
"Lycorma delicatula (White, 1845)",-75.19175,39.961167,gbif,2020-05-23,2850547562
"Lycorma delicatula (White, 1845)",-75.191795,39.960892,gbif,2020-05-25,2850568560
"Lycorma delicatula (White, 1845)",-75.191812,39.960995,gbif,2020-05-28,2850577591
"Lycorma delicatula (White, 1845)",-75.191795,39.960983,gbif,2020-05-31,2850580596
"Lycorma delicatula (White, 1845)",-75.191788,39.960853,gbif,2020-05-28,2850588613
"Lycorma delicatula (White, 1845)",-75.191842,39.960933,gbif,2020-05-18,2850607569
"Lycorma delicatula (White, 1845)",-75.191947,39.960908,gbif,2020-05-31,2850610592
"Lycorma delicatula (White, 1845)",-75.191933,39.961078,gbif,2020-05-31,2850623629
"Lycorma delicatula (White, 1845)",-75.19185,39.960975,gbif,2020-05-23,2850935585
"Lycorma delicatula (White, 1845)",-75.191788,39.960963,gbif,2020-05-21,2850945549
"Lycorma delicatula (White, 1845)",-75.19168,39.961217,gbif,2020-05-31,2850948598
"Lycorma delicatula (White, 1845)",-75.191895,39.960942,gbif,2020-05-31,2850957573
"Lycorma delicatula (White, 1845)",-75.191903,39.960933,gbif,2020-05-31,2850992594
"Lycorma delicatula (White, 1845)",-75.209603,39.951508,gbif,2020-05-23,2862295062
"Lycorma delicatula (White, 1845)",-75.207687,39.950175,gbif,2020-05-18,2862431147
"Lycorma delicatula (White, 1845)",-75.257948,40.040844,gbif,2020-06-03,2634096183
"Lycorma delicatula (White, 1845)",-75.732183,39.810838,gbif,2020-06-03,2634103193
"Lycorma delicatula (White, 1845)",-75.33663,39.986616,gbif,2020-06-03,2634109188
"Lycorma delicatula (White, 1845)",-75.135589,39.872225,gbif,2020-06-01,2634131980
"Lycorma delicatula (White, 1845)",-75.41439,40.024343,gbif,2020-06-02,2634132084
"Lycorma delicatula (White, 1845)",-75.148383,39.932195,gbif,2020-06-03,2634148218
"Lycorma delicatula (White, 1845)",-75.328048,39.9875,gbif,2020-06-04,2634150371
"Lycorma delicatula (White, 1845)",-76.404488,40.1692,gbif,2020-06-02,2634158104
"Lycorma delicatula (White, 1845)",-75.926875,40.335648,gbif,2020-06-04,2634176436
"Lycorma delicatula (White, 1845)",-75.182819,39.972815,gbif,2020-06-04,2634180336
"Lycorma delicatula (White, 1845)",-75.926875,40.335648,gbif,2020-06-04,2634182508
"Lycorma delicatula (White, 1845)",-75.295635,40.079042,gbif,2020-06-04,2634200380
"Lycorma delicatula (White, 1845)",-75.233058,40.080072,gbif,2020-06-04,2634216433
"Lycorma delicatula (White, 1845)",-75.437970000000007,40.742154,gbif,2020-06-04,2634316330
"Lycorma delicatula (White, 1845)",-75.948153,40.026597,gbif,2020-06-03,2634326182
