geopol_unit,obs_mean,obs_sd,obs_min,obs_max,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Rhode Island,0.5372893167054081,0.12420432798509637,0.32068872451782227,0.8558523654937744,0.44115617126226425,0.5009876489639282,0.6112827509641647,0.7345819115638734
South Carolina,0.38404150790952035,0.08470126266590389,0.053887322545051575,0.7110066413879395,0.34461596608161926,0.36766019463539124,0.4105833172798157,0.5067509174346925
South Dakota,0.055511191545137804,0.07230884969610124,0.0015108404913917184,0.5118808150291443,0.0161083429120481,0.026955805718898773,0.05928078759461641,0.1240989938378335
Tennessee,0.4188850270922986,0.11291162823074583,0.05251990631222725,0.7987359762191772,0.36870815604925156,0.4062759280204773,0.4455796927213669,0.5837896049022675
Texas,0.19840455093440626,0.13901870168646474,0.0013199973618611693,0.5834900736808777,0.09108605608344078,0.14321306347846985,0.3406073898077011,0.38142287135124214
Utah,0.07448653557965727,0.09742700188888599,0.0012334759812802076,0.6214183568954468,0.019053624011576176,0.04576738737523556,0.07857627235352993,0.14376128911972044
Vermont,0.04335054612376258,0.03322077916490048,0.0064312550239264965,0.3003203272819519,0.01964545575901866,0.031092737801373005,0.05282294470816851,0.08702494949102402
Virginia,0.41704963406940326,0.12018608407595056,0.06587764620780945,0.7684716582298279,0.3664468228816986,0.3934820890426636,0.45652635395526886,0.6083274245262147
Washington,0.1493893877738862,0.16058117729896057,0.0011278126621618867,0.827910304069519,0.029112144839018583,0.10108170658349991,0.17753533646464348,0.3950224131345749
West Virginia,0.2482870967265568,0.11720530826808975,0.02549457922577858,0.6859443187713623,0.14974892139434814,0.1951613947749138,0.35065414756536484,0.4130013436079025
Wisconsin,0.08427359570597528,0.09157848862204197,0.0027021600399166346,0.5647180080413818,0.023965206928551197,0.05205516144633293,0.10518843680620193,0.18498351871967317
Wyoming,0.019709283721838704,0.027900637995227913,7.005210500210524e-4,0.300546258687973,0.003703387686982751,0.00838333647698164,0.023502493277192116,0.049285053461790136
