name,decimalLatitude,decimalLongitude
Ailanthus altissima,40.712244,-73.931946
Ailanthus altissima,36.218388,-83.402701
Ailanthus altissima,40.51482,-80.119215
Ailanthus altissima,42.283832,-83.74722
Ailanthus altissima,40.79411,-73.866353
Ailanthus altissima,38.619006,-90.321272
Ailanthus altissima,45.75497,3.09789
Ailanthus altissima,40.619946,-74.850865
Ailanthus altissima,40.711546,-73.932209
Ailanthus altissima,39.409142,-84.550537
Ailanthus altissima,36.297492,-83.293997
Ailanthus altissima,37.303091,-78.22988
Ailanthus altissima,-43.566902,172.646193
Ailanthus altissima,38.782925,-77.065705
Ailanthus altissima,35.81056,-78.477443
Ailanthus altissima,36.838788,-2.457679
Ailanthus altissima,40.21898,-8.43576
Ailanthus altissima,45.75608,3.09933
Ailanthus altissima,45.75485,3.09689
Ailanthus altissima,42.280802,-83.743836
Ailanthus altissima,40.53123,-79.947608
Ailanthus altissima,49.838978,8.567791
Ailanthus altissima,40.582768,-73.994474
Ailanthus altissima,38.602222,-90.252777
Ailanthus altissima,41.356074,-88.425604
Ailanthus altissima,40.712756,-73.932564
Ailanthus altissima,40.771819,-73.952962
Ailanthus altissima,40.738396,-111.840706
Ailanthus altissima,38.025308,23.804857
Ailanthus altissima,34.193837,-118.107155
Ailanthus altissima,41.50132,13.136866
Ailanthus altissima,38.84203,-7.5913
Ailanthus altissima,40.22321,-8.44613
Ailanthus altissima,40.712955,-73.931281
Ailanthus altissima,40.569529,-74.617901
Ailanthus altissima,34.131268,-118.245292
Ailanthus altissima,45.10159,7.119893
Ailanthus altissima,45.143288,7.112942
Ailanthus altissima,41.157392,-74.188195
Ailanthus altissima,42.561249,27.524237
Ailanthus altissima,40.74615,-73.945206
Ailanthus altissima,40.262177,-80.185428
Ailanthus altissima,40.773698,-73.945416
Ailanthus altissima,37.885539,-122.09793
Ailanthus altissima,40.71298,-73.930938
Ailanthus altissima,40.915481,-74.091871
Ailanthus altissima,40.7708,-73.952182
Ailanthus altissima,30.312874,-97.76501
Ailanthus altissima,49.61,6.14
Ailanthus altissima,55.594891,12.976245
Ailanthus altissima,40.684817,-73.987996
Ailanthus altissima,42.327424,-71.100995
Ailanthus altissima,35.618687,-87.08577
Ailanthus altissima,41.258629,-81.542984
Ailanthus altissima,45.488625,10.29041
Ailanthus altissima,38.76714,-7.71779
Ailanthus altissima,36.287622,-83.275875
Ailanthus altissima,32.339229,-110.718198
Ailanthus altissima,35.115966,-106.639172
Ailanthus altissima,38.581806,-90.454681
Ailanthus altissima,38.856229,-77.068233
Ailanthus altissima,40.29857,-7.86688
Ailanthus altissima,40.560618,-75.967433
Ailanthus altissima,40.712752,-73.931414
Ailanthus altissima,40.712949,-73.931013
Ailanthus altissima,45.75712,3.1
Ailanthus altissima,47.003492,6.954092
Ailanthus altissima,40.712735,-73.931744
Ailanthus altissima,40.744131,-73.938408
Ailanthus altissima,40.22044,-8.41076
Ailanthus altissima,45.624659,-122.780566
Ailanthus altissima,42.315564,-71.10229
Ailanthus altissima,35.959019,-83.542961
Ailanthus altissima,40.675648,-73.99198
Ailanthus altissima,42.352505,-71.059914
Ailanthus altissima,40.707189,-74.251893
Ailanthus altissima,34.052231,-117.183555
Ailanthus altissima,40.735944,-73.941751
Ailanthus altissima,49.0625,1.70472
Ailanthus altissima,44.824578,8.631512
Ailanthus altissima,37.497264,-79.660189
Ailanthus altissima,41.06086,-7.16294
Ailanthus altissima,52.518581,13.399699
Ailanthus altissima,37.977903,-121.849563
Ailanthus altissima,37.524285,-77.45762
Ailanthus altissima,40.735974,-73.941899
Ailanthus altissima,38.88652,-76.54673
Ailanthus altissima,36.1279,-86.808487
Ailanthus altissima,35.798363,-84.961747
Ailanthus altissima,44.133389,9.677195
Ailanthus altissima,41.967754,14.120092
Ailanthus altissima,39.371437,-84.578675
Ailanthus altissima,35.816578,-84.916328
Ailanthus altissima,40.432778,-79.941247
Ailanthus altissima,39.419395,-84.570672
Ailanthus altissima,41.869843,-87.788498
Ailanthus altissima,40.792032,-73.926512
Ailanthus altissima,40.568655,-74.618886
Ailanthus altissima,40.301108,-80.111817
Ailanthus altissima,40.769188,-73.951886
Ailanthus altissima,38.787875,-77.074169
Ailanthus altissima,41.840797,-88.075867
Ailanthus altissima,36.3825,-80.719513
Ailanthus altissima,34.792565,-87.68022
Ailanthus altissima,32.729378,-96.721803
Ailanthus altissima,40.873118,-73.920308
Ailanthus altissima,51.053323,13.732476
Ailanthus altissima,40.578608,-74.445925
Ailanthus altissima,40.861286,-73.934079
Ailanthus altissima,37.803977,-114.407198
Ailanthus altissima,40.723436,-73.921331
Ailanthus altissima,41.583982,-73.808744
Ailanthus altissima,39.929046,-76.383571
Ailanthus altissima,40.736183,-73.942401
Ailanthus altissima,38.780564,-77.07289
Ailanthus altissima,41.164883,-74.907395
Ailanthus altissima,40.09284,-8.33511
Ailanthus altissima,44.71479,5.05596
Ailanthus altissima,52.493849,13.328752
Ailanthus altissima,38.194308,-86.153106
Ailanthus altissima,41.02705,-6.94016
Ailanthus altissima,40.434849,-79.942489
Ailanthus altissima,42.695627,-73.878614
Ailanthus altissima,42.283863,-83.718042
Ailanthus altissima,42.282363,-83.741272
Ailanthus altissima,38.070183,-81.079133
Ailanthus altissima,41.302045,-73.98677
Ailanthus altissima,41.363729,-73.815922
Ailanthus altissima,46.02791,4.05845
Ailanthus altissima,37.533799,-77.434777
Ailanthus altissima,40.420949,-76.106169
Ailanthus altissima,40.735903,-73.944818
Ailanthus altissima,38.602337,-90.247902
Ailanthus altissima,39.7496,-75.496942
Ailanthus altissima,36.091782,-80.188797
Ailanthus altissima,40.20097,-8.40949
Ailanthus altissima,40.735886,-73.944841
Ailanthus altissima,40.773577,-73.99369
Ailanthus altissima,35.198066,-85.877404
Ailanthus altissima,40.751442,14.48162
Ailanthus altissima,49.882381,8.627046
Ailanthus altissima,40.707237,-79.55838
Ailanthus altissima,39.15495,-84.531355
Ailanthus altissima,41.02716,-6.93133
Ailanthus altissima,40.9525,-6.93026
Ailanthus altissima,40.756582,-73.964747
Ailanthus altissima,44.422733,12.196793
Ailanthus altissima,36.080198,-94.370701
Ailanthus altissima,45.168172,8.232453
Ailanthus altissima,45.75962,4.88228
Ailanthus altissima,40.677621,-73.512402
Ailanthus altissima,40.959455,-73.989397
Ailanthus altissima,40.735679,-73.94493
Ailanthus altissima,40.645389,-78.090325000000007
Ailanthus altissima,43.565425,-79.566712
Ailanthus altissima,40.75197,14.48058
Ailanthus altissima,37.219202,-121.985257
Ailanthus altissima,37.957397,-121.864022
Ailanthus altissima,52.491759,13.333109
Ailanthus altissima,34.736069,-112.013681
Ailanthus altissima,42.283586,-83.743947
Ailanthus altissima,40.835066,-73.949939
Ailanthus altissima,40.817321,-73.96257
Ailanthus altissima,41.1379,-81.38817
Ailanthus altissima,40.471645,-74.524475
Ailanthus altissima,38.843111,-77.089945
Ailanthus altissima,40.759982,-73.960066
Ailanthus altissima,35.793563,-84.957213
Ailanthus altissima,40.20081,-8.40817
Ailanthus altissima,40.18527,-8.40754
Ailanthus altissima,32.721775,-109.106261
Ailanthus altissima,40.735878,-73.944815
Ailanthus altissima,40.736391,-73.942694
Ailanthus altissima,38.103436,-78.903914
Ailanthus altissima,40.677643,-73.512412
Ailanthus altissima,42.736305,-73.653694
Ailanthus altissima,41.070796,-71.85894
Ailanthus altissima,52.455002,13.409715
Ailanthus altissima,34.896592,-82.086428
Ailanthus altissima,38.595055,-90.251022
Ailanthus altissima,49.331799,8.56477
Ailanthus altissima,40.72354,-73.922463
Ailanthus altissima,40.77645,-73.943213
Ailanthus altissima,40.25714,-7.50702
Ailanthus altissima,35.999168,-78.915276
Ailanthus altissima,49.231109,7.003666
Ailanthus altissima,40.6828,-73.513304
Ailanthus altissima,42.050536,-73.940288
Ailanthus altissima,40.735679,-73.944911
Ailanthus altissima,46.163412,12.876575
