name,latitude,longitude,prov,date,key
Ailanthus altissima (Mill.) Swingle,38.097197,-122.271084,gbif,2020-05-11,2626628635
Ailanthus altissima (Mill.) Swingle,29.660809,-98.666638,gbif,2020-05-13,2626630908
Ailanthus altissima (Mill.) Swingle,39.019642,-94.26838,gbif,2020-05-14,2626631243
Ailanthus altissima (Mill.) Swingle,38.664348,-121.151343,gbif,2020-05-17,2626652883
Ailanthus altissima (Mill.) Swingle,33.84458,-84.272999,gbif,2020-05-11,2626663081
Ailanthus altissima (Mill.) Swingle,35.803908,-80.264321,gbif,2020-05-19,2626663187
Ailanthus altissima (Mill.) Swingle,51.10734,4.43139,gbif,2020-05-31,2631781013
Ailanthus altissima (Mill.) Swingle,51.18029,3.99378,gbif,2020-05-31,2631785007
Ailanthus altissima (Mill.) Swingle,51.00168,3.80654,gbif,2020-05-27,2631791985
Ailanthus altissima (Mill.) Swingle,34.42872,-86.39176,gbif,2020-05-16,2633995718
Ailanthus altissima (Mill.) Swingle,39.624037,-83.237734,gbif,2020-05-13,2633996674
Ailanthus altissima (Mill.) Swingle,39.240513,-121.398613,gbif,2020-05-20,2634003959
Ailanthus altissima (Mill.) Swingle,38.693755,-76.606323,gbif,2020-05-02,2634022627
Ailanthus altissima (Mill.) Swingle,36.335846,-94.099594,gbif,2020-05-22,2634032004
Ailanthus altissima (Mill.) Swingle,34.465471,-119.231211,gbif,2020-05-10,2634033645
Ailanthus altissima (Mill.) Swingle,40.711628,-111.885184,gbif,2020-05-22,2634035859
Ailanthus altissima (Mill.) Swingle,38.298534,-81.753449,gbif,2020-05-28,2634064104
Ailanthus altissima (Mill.) Swingle,45.519184,-120.839524,gbif,2020-05-25,2634066593
Ailanthus altissima (Mill.) Swingle,38.943343,-78.323295,gbif,2020-05-24,2634071743
Ailanthus altissima (Mill.) Swingle,42.446249,-71.491961,gbif,2020-05-27,2634076971
Ailanthus altissima (Mill.) Swingle,39.822436,-88.93943,gbif,2020-05-25,2634087685
Ailanthus altissima (Mill.) Swingle,41.432463,-87.211325,gbif,2020-05-29,2634105314
Ailanthus altissima (Mill.) Swingle,37.5773,-121.969917,gbif,2020-05-24,2634171525
Ailanthus altissima (Mill.) Swingle,29.55643,-98.277382,gbif,2020-05-20,2634218073
Ailanthus altissima (Mill.) Swingle,39.518588,-119.747917,gbif,2020-05-11,2634230780
Ailanthus altissima (Mill.) Swingle,49.795494,-119.535492,gbif,2020-05-19,2634241750
Ailanthus altissima (Mill.) Swingle,35.41534,-82.46286,gbif,2020-05-22,2634250848
Ailanthus altissima (Mill.) Swingle,45.023331,12.346394,gbif,2020-05-23,2634271120
Ailanthus altissima (Mill.) Swingle,39.993579,-76.356247,gbif,2020-05-24,2634301295
Ailanthus altissima (Mill.) Swingle,45.719852,9.735368,gbif,2020-05-27,2634302826
