name,latitude,longitude,prov,date,key
"Lycorma delicatula (White, 1845)",37.513904,121.403759,gbif,2020-09-18,2868109714
"Lycorma delicatula (White, 1845)",40.152653,-76.590172,gbif,2020-09-22,2868236365
"Lycorma delicatula (White, 1845)",38.933395,117.347882,gbif,2020-09-22,2868293686
"Lycorma delicatula (White, 1845)",40.846566,-74.212887,gbif,2020-09-18,2868353754
"Lycorma delicatula (White, 1845)",40.713513,-74.350188,gbif,2020-09-21,2868355128
"Lycorma delicatula (White, 1845)",41.092586,-75.592689,gbif,2020-09-23,2868363430
"Lycorma delicatula (White, 1845)",40.286832,-75.278464,gbif,2020-09-21,2868376326
"Lycorma delicatula (White, 1845)",40.90811,-74.558059,gbif,2020-09-27,2873723289
"Lycorma delicatula (White, 1845)",40.632902,-74.080285,gbif,2020-09-25,2873730699
"Lycorma delicatula (White, 1845)",39.892054,-74.908289,gbif,2020-09-25,2873747671
"Lycorma delicatula (White, 1845)",39.948543,-75.827045,gbif,2020-09-22,2873751286
"Lycorma delicatula (White, 1845)",40.505339,-75.602026,gbif,2020-09-23,2873774575
"Lycorma delicatula (White, 1845)",41.108108,-75.454899,gbif,2020-09-22,2873774636
"Lycorma delicatula (White, 1845)",40.865286,-74.417388,gbif,2020-09-25,2873796681
"Lycorma delicatula (White, 1845)",37.258991,128.483567,gbif,2020-09-26,2873801839
"Lycorma delicatula (White, 1845)",40.429946,-76.594653,gbif,2020-09-12,2873805477
"Lycorma delicatula (White, 1845)",36.654063,128.446871,gbif,2020-09-30,2873821097
"Lycorma delicatula (White, 1845)",40.572222,-74.419167,gbif,2020-09-26,2873831091
"Lycorma delicatula (White, 1845)",40.041615,-74.811353,gbif,2020-09-25,2873871711
"Lycorma delicatula (White, 1845)",40.618102,-74.847397,gbif,2020-09-26,2873876974
"Lycorma delicatula (White, 1845)",40.697973,-75.47091,gbif,2020-09-25,2873878767
"Lycorma delicatula (White, 1845)",40.201416,-76.739888,gbif,2020-09-25,2873912866
"Lycorma delicatula (White, 1845)",39.857887,116.679358,gbif,2020-09-07,2873954012
"Lycorma delicatula (White, 1845)",40.258458,-76.889228,gbif,2020-09-25,2873960094
"Lycorma delicatula (White, 1845)",39.672806,-74.999777,gbif,2020-09-25,2873978639
"Lycorma delicatula (White, 1845)",40.133759,-75.959718,gbif,2020-10-01,2874044821
"Lycorma delicatula (White, 1845)",31.4849,120.255828,gbif,2020-10-08,2882946867
"Lycorma delicatula (White, 1845)",40.542494,-74.714989,gbif,2020-10-02,2882951737
"Lycorma delicatula (White, 1845)",40.955013,-74.795883,gbif,2020-10-02,2882951828
"Lycorma delicatula (White, 1845)",39.70329,-75.187663,gbif,2020-10-07,2882989257
"Lycorma delicatula (White, 1845)",40.352801,-76.668886,gbif,2020-10-04,2883011960
"Lycorma delicatula (White, 1845)",39.874989,-74.433357,gbif,2020-10-05,2883062416
"Lycorma delicatula (White, 1845)",40.846689,-74.642293,gbif,2020-10-03,2883083559
"Lycorma delicatula (White, 1845)",40.805308,-74.736145,gbif,2020-10-01,2883089612
"Lycorma delicatula (White, 1845)",30.766452,120.683107,gbif,2020-10-02,2883089613
"Lycorma delicatula (White, 1845)",40.551824,-74.221713,gbif,2020-10-02,2883133760
"Lycorma delicatula (White, 1845)",40.204025,-74.552224,gbif,2020-10-08,2883200564
"Lycorma delicatula (White, 1845)",39.954822,-76.460922,gbif,2020-10-05,2883213461
"Lycorma delicatula (White, 1845)",40.744355,-74.249603,gbif,2020-10-08,2883222912
"Lycorma delicatula (White, 1845)",40.47843,-74.283814,gbif,2020-10-08,2883230861
"Lycorma delicatula (White, 1845)",36.801637,127.110367,gbif,2019-05-03,2543029370
"Lycorma delicatula (White, 1845)",37.62032,127.767613,gbif,2019-06-01,2252014862
"Lycorma delicatula (White, 1845)",35.832035,128.590314,gbif,2019-06-05,2252058132
"Lycorma delicatula (White, 1845)",40.555676,-75.988247,gbif,2019-06-12,2265892038
