geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Hawaii,0.0016876828085642674,0.0030463569551774264,1.9075901036558207e-6,0.03827109932899475,0.10252593161736458,7.08463994669728e-5,2.612060052342713e-4,0.0016790899680927396,0.006140191946178675
Idaho,0.0012952498508612947,0.005545826829143531,1.896520006994251e-5,0.08092329651117325,0.03579725868660074,4.9359924560121726e-5,1.1661949974950403e-4,3.679134970298037e-4,0.0019478369737043978
Illinois,0.06311286960468085,0.059223892813223496,0.001109899953007698,0.3607720136642456,0.9567775574263537,0.023748399689793587,0.04260240122675896,0.0795287024229765,0.15071000158786774
Indiana,0.16860771159821036,0.15501728028458112,0.002254389924928546,0.76944500207901,0.9937795732367886,0.04113040119409561,0.11980900168418884,0.24380500614643097,0.4125710129737854
Iowa,0.013173588336783696,0.02148258889167348,2.2227500448934734e-4,0.3196229934692383,0.44895072433303557,0.001855137466918677,0.0045022498816251755,0.01772577501833439,0.03346803970634939
Kansas,0.021808287757841462,0.042269024210991754,4.4669999624602497e-4,0.31731998920440674,0.48497681939338816,0.001223050057888031,0.0057349600829184055,0.021390025038272142,0.05149434022605422
Kentucky,0.18854828112599284,0.16942220546229675,0.006464140024036169,0.7580980062484741,0.999993483686409,0.07459580153226852,0.12155599892139435,0.21453900635242462,0.47234800457954407
Louisiana,0.007675996347721885,0.009751802696358986,7.270120113389567e-5,0.06405770033597946,0.3376887481734048,0.0016279099509119987,0.0036211800761520863,0.009886769577860832,0.02060052007436753
Maine,0.008878147613803148,0.021340780862732108,2.2320500283967704e-4,0.16347800195217133,0.253383291661592,5.467327428050339e-4,0.0014440399827435613,0.006448047352023423,0.01946841999888421
Maryland,0.31441412649559,0.26046006741651084,0.0018852000357583165,0.8907650113105774,0.9825103147624361,0.0800787229090929,0.2625825107097626,0.5644552260637283,0.7125982761383056
Massachusetts,0.16528838006522675,0.1362565740682132,0.003925799857825041,0.928970992565155,0.9979094710052717,0.07177832536399364,0.11286850273609161,0.24619625136256218,0.317657208442688
Michigan,0.005216439019221963,0.00939940550498955,1.210490008816123e-4,0.14503000676631927,0.5596030842022255,5.780797655461356e-4,0.0016696449602022767,0.007019230048172176,0.01291630985215307
Minnesota,0.0027297169942718303,0.00454705729843324,1.0978800128214061e-4,0.029592400416731834,0.1386944022092867,3.114030114375055e-4,0.0010443199425935745,0.002546820091083646,0.009236131981015208
Mississippi,0.009278305202102958,0.0219181454808073,3.181869979016483e-4,0.2996000051498413,0.2631013795840239,0.0013736500404775143,0.002787630073726177,0.0069852350279688835,0.02045461982488632
Missouri,0.06009746014122578,0.08273177798110094,0.0033357099164277315,0.642490029335022,0.9933858385278639,0.018035100772976875,0.03003060072660446,0.056135076098144054,0.14167710691690447
Montana,1.4217814134589977e-4,3.0173775874152333e-4,2.8988899430260062e-5,0.005875700153410435,0,5.374707416194724e-5,6.388909969246015e-5,1.2181124839116819e-4,2.4974660191219334e-4
Nebraska,0.011374037067479376,0.035459378062600855,2.638200021465309e-5,0.3288230001926422,0.1974084043762889,9.013314956973772e-5,3.969535027863458e-4,0.0031329499324783683,0.026853740029037003
Nevada,5.186400592919638e-4,0.0025636041292125054,2.259050006614416e-6,0.07228399813175201,0.012205082511926639,2.9432299925247207e-5,5.336869980965275e-5,2.6581924612401053e-4,7.557396136689927e-4
New Hampshire,0.022335108842430434,0.024995151954006846,6.862740265205503e-4,0.29884201288223267,0.7434096269991446,0.006301614921540022,0.01478820014744997,0.0258799996227026,0.05980241894721988
New Jersey,0.5562595016542925,0.27098213250342873,0.01120620034635067,0.9590569734573364,1,0.3110084906220436,0.6086319983005524,0.7970657497644424,0.8647131264209746
New Mexico,0.0018486144682819956,0.004223365588295971,2.4128899895003997e-5,0.08761899918317795,0.05443393872923048,2.3952549963723868e-4,6.558719906024635e-4,0.0017010050360113382,0.0039411459118127825
New York,0.04671936765590363,0.13865665241026404,1.6684600268490613e-4,0.9194530248641968,0.6630057937966819,0.00371044990606606,0.01116469968110323,0.023817500099539757,0.05500282123684885
North Carolina,0.12786518021664872,0.1274496414778456,4.291869990993291e-4,0.7410929799079895,0.9458392564242756,0.030011700466275215,0.08736349642276764,0.1844950020313263,0.31234140396118165
North Dakota,3.499130061934968e-4,9.067406582183372e-4,4.982850077794865e-5,0.013721399940550327,0.006000127121337316,7.963975076563656e-5,9.33741030166857e-5,2.442619879730046e-4,7.792178192175938e-4
Ohio,0.08464080112902217,0.10520766854429761,0.0018010999774560332,0.7532830238342285,0.9810289389067524,0.023870100267231464,0.043042100965976715,0.09467564895749092,0.2243132025003434
Oklahoma,0.018027948887617558,0.028785515482099733,1.9380099547561258e-4,0.30188000202178955,0.5063190574442238,0.002169670071452856,0.006667559966444969,0.019389850087463856,0.051088719815015796
Oregon,0.06390449720069064,0.17034050184757252,1.6051200873334892e-5,0.9444890022277832,0.3236128695360878,5.347184924175963e-5,2.7071801014244556e-4,0.019710250198841095,0.1938882023096087
Pennsylvania,0.15488235849781282,0.25078048666414643,3.431020013522357e-4,0.9539139866828918,0.8378113040102058,0.009499005042016506,0.033108800649642944,0.16211549937725067,0.615446984767914
Rhode Island,0.3004334415050553,0.19584697931645836,0.05328340083360672,0.9081460237503052,1,0.17306600138545036,0.23750700056552887,0.3849797397851944,0.5818709194660188
South Carolina,0.05040736047911998,0.08064428122403353,4.462380020413548e-4,0.5599640011787415,0.6830465083202958,0.005668384954333305,0.013921200297772884,0.04744789935648441,0.18453319668769838
South Dakota,5.411592328552622e-4,0.0016792129604495357,4.2168201616732404e-5,0.037663500756025314,0.021960072595281308,5.9820398746524006e-5,7.598309821332805e-5,2.4195450168917887e-4,0.0011533519951626666
Tennessee,0.16737032822052808,0.15280913170744168,0.0014899600064381957,0.7355279922485352,0.9993488669007341,0.05170452408492565,0.11487450078129768,0.2163200043141842,0.41989130079746245
Texas,0.0025503153820499056,0.0048616715052664855,3.4392201087030116e-6,0.07922530174255371,0.10227068141748473,1.985240014619194e-4,7.914769812487066e-4,0.0029602900613099337,0.006571090035140516
Utah,0.0013541588409399833,0.006842165602861458,1.3667299754160922e-5,0.17267000675201416,0.02650869623022348,7.015252595010679e-5,2.4004500301089138e-4,5.368397396523505e-4,0.0016821390134282405
Vermont,0.006772911526358351,0.007886957043340598,1.833790011005476e-4,0.08856619894504547,0.3411825880255534,0.0017932400514837354,0.004198265029117465,0.008438482414931059,0.015809649601578712
Virginia,0.13727049909671804,0.11399170372866792,8.4497599164024e-4,0.737932026386261,0.9880724188635648,0.058277273550629616,0.09468119964003563,0.18732575327157974,0.3124801069498063
Washington,0.05594645017554075,0.1556143482579482,2.100369965774007e-5,0.9427980184555054,0.404376193984817,6.108612433308735e-4,0.003548430046066642,0.019420649856328964,0.12902409881353383
West Virginia,0.04821489885041655,0.04445288200179813,7.100409711711109e-4,0.6496509909629822,0.8935041601608453,0.020394724793732166,0.03635904937982559,0.061224049888551235,0.10310550034046173
Wisconsin,0.004447999995960839,0.005025714295187888,1.592860062373802e-4,0.023777399212121964,0.35372705841516855,0.0010980500373989344,0.0021774849155917764,0.005556472693569958,0.012830169778317215
Wyoming,1.030284639812914e-4,1.265451821703569e-4,2.5348999770358205e-5,0.002649960108101368,0,4.2584000766510144e-5,5.522900028154254e-5,1.0990200098603964e-4,2.1344959677662757e-4
